,truck,loader,ton,n_shovel,truck_total_cycle,loader_total_cycle,distance_empty,distance_full,date
17,CAEX41,PH06,362.5535209389398,3.0,2597.0,146.0,6257.0,5137.0,2023-01-01
238,CAEX66,PH48,377.4757425332469,4.0,2283.0,218.0,5016.0,5217.0,2023-01-01
255,CAEX25,PH48,271.61795800484,4.0,1950.0,153.0,5135.0,5004.0,2023-01-01
338,CAEX52,PH48,275.4947957713386,3.0,1953.0,346.0,4963.0,5032.0,2023-01-01
411,CAEX56,PH48,268.114169290367,3.0,2705.0,125.0,5256.0,4998.0,2023-01-01
465,CAEX46,PH06,271.9055774989749,3.0,1206.0,396.0,14302.0,6000.0,2023-01-01
689,CAEX54,PH48,364.6918141969858,4.0,1979.0,267.0,7009.0,5112.0,2023-01-02
701,CAEX98,PH48,379.9679343888138,3.0,1324.0,281.0,5186.0,5193.0,2023-01-02
840,CAEX56,PH48,369.2300194766167,3.0,1679.0,202.0,4951.0,3945.0,2023-01-02
847,CAEX66,PH48,363.9190061200461,3.0,1605.0,314.0,6845.0,5892.0,2023-01-02
1015,CAEX98,PH55,273.04205791309005,4.0,2244.0,321.0,4058.0,7814.0,2023-01-02
1028,CAEX64,PH48,365.273294515057,4.0,1281.0,134.0,5357.0,7482.0,2023-01-02
1029,CAEX55,PH48,363.16339793965625,4.0,2167.0,272.0,6715.0,5039.0,2023-01-02
1139,CAEX47,PH06,275.8982013172296,3.0,1413.0,424.0,6695.0,3948.0,2023-01-02
1175,CAEX31,PH55,271.15137842374475,4.0,2429.0,431.0,4130.0,8009.0,2023-01-02
1304,CAEX71,PH48,268.4064347606045,3.0,1351.0,347.0,5202.0,3760.0,2023-01-03
1472,CAEX62,PH48,370.5814084392048,4.0,1461.0,381.0,5060.0,3727.0,2023-01-03
1575,CAEX66,PH55,361.40323400760616,4.0,2440.0,247.0,4331.0,4450.0,2023-01-03
1596,CAEX58,PH06,272.379505196482,3.0,1796.0,289.0,5074.0,3756.0,2023-01-03
1612,CAEX62,PH48,373.5936419221676,4.0,1369.0,320.0,5135.0,3724.0,2023-01-03
1614,CAEX62,PH48,363.0226268092648,4.0,1640.0,399.0,5200.0,3959.0,2023-01-03
1615,CAEX41,PH55,368.0708010590741,5.0,1650.0,416.0,4412.0,3083.0,2023-01-03
1616,CAEX01,PH48,368.09038528996734,4.0,1686.0,354.0,5147.0,3905.0,2023-01-03
1652,CAEX71,PH06,275.24479873762454,3.0,1416.0,295.0,4986.0,3679.0,2023-01-03
1744,CAEX49,PH06,361.7595205340344,5.0,1701.0,472.0,5114.0,3608.0,2023-01-03
1768,CAEX84,PH06,365.94232055940233,5.0,1603.0,442.0,5143.0,3773.0,2023-01-03
1833,CAEX30,PH48,361.3510123538488,4.0,1553.0,311.0,4981.0,3597.0,2023-01-03
1835,CAEX64,PH06,373.6515369453229,5.0,1627.0,259.0,5086.0,4860.0,2023-01-03
1841,CAEX47,PH48,267.7208386958917,3.0,2026.0,225.0,6641.0,5768.0,2023-01-03
1856,CAEX01,PH48,364.3470071713253,4.0,1603.0,211.0,5193.0,3748.0,2023-01-03
1907,CAEX74,PH48,276.1292242254516,3.0,2055.0,333.0,5319.0,5194.0,2023-01-03
1917,CAEX34,PH06,363.95938222384007,4.0,1864.0,425.0,7028.0,4935.0,2023-01-03
1937,CAEX34,PH55,364.8148991873762,4.0,1906.0,177.0,2978.0,4238.0,2023-01-03
1998,CAEX44,PH58,275.9341769071081,3.0,3192.0,375.0,7719.0,7525.0,2023-01-03
2000,CAEX54,PH06,366.4659922076196,4.0,2175.0,283.0,6175.0,4786.0,2023-01-03
2152,CAEX52,PH48,274.3345616537188,3.0,2144.0,260.0,5264.0,5494.0,2023-01-04
2181,CAEX46,PH55,373.0461815366608,5.0,2217.0,380.0,4393.0,4528.0,2023-01-04
2222,CAEX30,PH48,264.88350915084806,3.0,2526.0,237.0,5262.0,5206.0,2023-01-04
2234,CAEX66,PH06,376.6721293728973,6.0,2024.0,895.0,6341.0,4889.0,2023-01-04
2287,CAEX41,PH58,276.11919320784966,3.0,3507.0,206.0,8216.0,7689.0,2023-01-04
2541,CAEX48,PH06,361.6333039340109,4.0,2966.0,400.0,10078.0,6598.0,2023-01-04
2638,CAEX48,PH48,364.9153306703188,4.0,2276.0,341.0,5069.0,5281.0,2023-01-04
2731,CAEX87,PH58,362.6194293999189,4.0,3164.0,176.0,8403.0,7397.0,2023-01-04
2779,CAEX52,PH55,271.60934727729983,6.0,1775.0,517.0,3015.0,3010.0,2023-01-05
2792,CAEX01,PH48,368.136086251107,4.0,3347.0,448.0,5259.0,6354.0,2023-01-05
2804,CAEX56,PH58,270.87598936566013,3.0,2269.0,468.0,11420.0,9070.0,2023-01-05
2961,CAEX93,PH06,362.5962436824436,4.0,2832.0,301.0,5211.0,5288.0,2023-01-05
3001,CAEX55,PH58,365.3320865861381,4.0,3026.0,471.0,8875.0,8854.0,2023-01-05
3036,CAEX42,PH58,266.6853427415016,3.0,3588.0,174.0,9198.0,8931.0,2023-01-05
3159,CAEX47,PH58,276.6170901150414,3.0,2781.0,199.0,7387.0,7329.0,2023-01-05
3182,CAEX60,PH58,272.63899800889,3.0,3203.0,143.0,8799.0,8982.0,2023-01-05
3297,CAEX47,PH48,271.9501303598477,3.0,2353.0,158.0,5289.0,5373.0,2023-01-05
3300,CAEX48,PH48,271.65730280347793,3.0,1937.0,237.0,5272.0,5321.0,2023-01-05
3305,CAEX85,PH06,369.9146277326637,4.0,1823.0,309.0,6975.0,5226.0,2023-01-05
3349,CAEX44,PH48,268.7979198479092,4.0,2492.0,370.0,8674.0,6553.0,2023-01-05
3353,CAEX81,PH06,368.1433208666069,4.0,2239.0,278.0,5049.0,5377.0,2023-01-05
3380,CAEX98,PH06,265.78564888297404,4.0,2067.0,370.0,6676.0,5195.0,2023-01-05
3404,CAEX81,PH48,276.1272436174431,3.0,2699.0,152.0,4881.0,6348.0,2023-01-05
3482,CAEX87,PH58,273.2433851994022,3.0,3518.0,225.0,9205.0,8884.0,2023-01-05
3504,CAEX93,PH06,275.23488294307003,3.0,1493.0,448.0,3824.0,5194.0,2023-01-05
3612,CAEX44,PH06,367.2600479979089,3.0,2680.0,591.0,5263.0,5432.0,2023-01-06
3615,CAEX44,PH48,365.0154874804862,4.0,3585.0,257.0,4917.0,6350.0,2023-01-06
4006,CAEX93,PH58,275.9413817306609,5.0,2653.0,330.0,7501.0,8869.0,2023-01-06
4018,CAEX64,PH48,274.8737176727016,3.0,3139.0,255.0,6800.0,6418.0,2023-01-06
4035,CAEX47,PH06,366.1312122187316,4.0,2516.0,426.0,5837.0,7617.0,2023-01-06
4054,CAEX34,PH58,269.8369138913354,3.0,3080.0,458.0,7437.0,8819.0,2023-01-06
4057,CAEX81,PH58,271.4151089516671,3.0,2593.0,336.0,7211.0,8892.0,2023-01-06
4097,CAEX31,PH06,370.3086708441366,3.0,2078.0,222.0,7451.0,5047.0,2023-01-06
4108,CAEX46,PH06,267.56285601107106,3.0,2721.0,644.0,7831.0,5241.0,2023-01-06
4156,CAEX66,PH06,364.9176242581472,3.0,2441.0,291.0,5326.0,5491.0,2023-01-06
4157,CAEX66,PH58,274.78291687342613,5.0,3426.0,329.0,8991.0,8813.0,2023-01-06
4353,CAEX93,PH48,274.5752217082413,3.0,3617.0,417.0,4875.0,6539.0,2023-01-06
4388,CAEX81,PH48,274.0929657202357,3.0,3684.0,275.0,6669.0,7349.0,2023-01-07
4469,CAEX24,PH58,368.700238550469,5.0,2716.0,311.0,7432.0,8959.0,2023-01-07
4549,CAEX08,PH48,273.7367444842424,3.0,3044.0,429.0,6614.0,8714.0,2023-01-07
4575,CAEX66,PH06,361.3618222816749,4.0,2845.0,259.0,10069.0,5424.0,2023-01-07
4650,CAEX73,PH58,275.52541081625014,5.0,2670.0,284.0,7555.0,9185.0,2023-01-07
4671,CAEX39,PH58,367.97238512338726,4.0,2962.0,325.0,7613.0,8914.0,2023-01-07
4691,CAEX24,PH58,362.0089700709865,3.0,3288.0,149.0,9008.0,7235.0,2023-01-07
4715,CAEX30,PH48,366.3417541226492,4.0,3256.0,161.0,6583.0,7572.0,2023-01-07
4727,CAEX13,PH48,276.1718839423544,3.0,1498.0,200.0,9236.0,4392.0,2023-01-07
4797,CAEX98,PH48,371.6710970433393,4.0,3208.0,369.0,4812.0,7682.0,2023-01-07
4824,CAEX48,PH58,364.5458503682602,5.0,3271.0,270.0,8978.0,8991.0,2023-01-07
4825,CAEX80,PH58,363.4308463588305,4.0,3469.0,396.0,8929.0,8819.0,2023-01-07
5000,CAEX60,PH55,272.51088649145544,4.0,1550.0,526.0,3038.0,2984.0,2023-01-08
5010,CAEX13,PH55,362.1651487022162,4.0,2002.0,494.0,4733.0,4429.0,2023-01-08
5022,CAEX84,PH06,378.4463980232824,3.0,2069.0,416.0,7797.0,5410.0,2023-01-08
5075,CAEX01,PH58,374.5428729307584,4.0,2819.0,441.0,7746.0,7549.0,2023-01-08
5124,CAEX73,PH58,371.72302915687067,4.0,1687.0,248.0,7706.0,1263.0,2023-01-08
5179,CAEX60,PH58,271.97161659548885,3.0,2910.0,449.0,7408.0,7320.0,2023-01-08
5182,CAEX13,PH55,269.23416916337,3.0,2199.0,163.0,4589.0,4439.0,2023-01-08
5187,CAEX25,PH58,276.9509397485542,3.0,2718.0,337.0,7772.0,7599.0,2023-01-08
5218,CAEX25,PH55,275.97755574427305,3.0,1939.0,373.0,4698.0,4408.0,2023-01-08
5327,CAEX60,PH55,275.410499216062,3.0,2207.0,371.0,4549.0,4364.0,2023-01-08
5500,CAEX24,PH55,363.0916609686242,4.0,2196.0,193.0,4248.0,4364.0,2023-01-08
5660,CAEX85,PH06,371.3983760742215,3.0,2209.0,179.0,6872.0,5491.0,2023-01-08
5661,CAEX01,PH58,361.9366315079107,4.0,3288.0,238.0,7845.0,7727.0,2023-01-08
5854,CAEX37,PH55,364.0092184923853,4.0,1972.0,147.0,4492.0,4315.0,2023-01-09
6040,CAEX98,PH55,273.8982704652178,3.0,2139.0,173.0,4590.0,4615.0,2023-01-09
6126,CAEX52,PH58,366.57898416822894,4.0,1955.0,389.0,9137.0,1004.0,2023-01-09
6328,CAEX44,PH55,361.613144411769,4.0,2213.0,461.0,4346.0,4338.0,2023-01-09
6404,CAEX30,PH06,363.2583105731157,4.0,2408.0,482.0,5509.0,1499.0,2023-01-09
6490,CAEX81,PH48,366.8488847988884,4.0,1706.0,240.0,5949.0,2218.0,2023-01-09
6593,CAEX01,PH06,369.01666159441066,5.0,2688.0,325.0,6465.0,5458.0,2023-01-09
6700,CAEX74,PH48,367.8254067791342,4.0,949.0,409.0,2311.0,2332.0,2023-01-09
6741,CAEX80,PH58,361.45256519360254,3.0,1173.0,411.0,7809.0,1534.0,2023-01-09
6957,CAEX81,PH58,271.9892460482947,3.0,3783.0,159.0,12184.0,7181.0,2023-01-10
7055,CAEX98,PH06,276.97219339074536,3.0,2235.0,214.0,5568.0,5571.0,2023-01-10
7290,CAEX46,PH06,371.206050958525,3.0,1535.0,418.0,4158.0,5661.0,2023-01-10
7375,CAEX23,PH48,270.1637009234278,6.0,2471.0,655.0,5832.0,6192.0,2023-01-10
7379,CAEX10,PH58,267.0643384440467,3.0,2822.0,285.0,12888.0,7934.0,2023-01-10
7609,CAEX93,PH48,268.85314218554913,3.0,2119.0,480.0,5604.0,6280.0,2023-01-10
7704,CAEX47,PH06,361.5167980710911,4.0,2844.0,407.0,14915.0,7364.0,2023-01-11
7786,CAEX85,PH58,371.3936055051746,3.0,1265.0,438.0,7257.0,1193.0,2023-01-11
7792,CAEX66,PH06,362.0062374581226,4.0,2268.0,476.0,7013.0,5680.0,2023-01-11
7949,CAEX39,PH58,368.5394450040668,4.0,1437.0,301.0,7327.0,1149.0,2023-01-11
8094,CAEX66,PH48,371.4267288902949,4.0,1711.0,469.0,8710.0,8264.0,2023-01-11
8312,CAEX66,PH58,368.1451218369701,4.0,1369.0,224.0,7152.0,1049.0,2023-01-11
8371,CAEX44,PH06,269.8197266351441,4.0,1859.0,381.0,1097.0,7322.0,2023-01-11
8547,CAEX87,PH48,366.7857951958652,5.0,953.0,379.0,1338.0,1396.0,2023-01-12
8584,CAEX70,PH58,271.6076233962527,3.0,3105.0,272.0,7348.0,7365.0,2023-01-12
8629,CAEX71,PH58,276.02825440136303,3.0,2932.0,147.0,7384.0,8530.0,2023-01-12
8743,CAEX58,PH48,272.03546662599933,3.0,970.0,305.0,1542.0,1303.0,2023-01-12
8821,CAEX66,PH06,372.606819331469,4.0,799.0,353.0,7054.0,1031.0,2023-01-12
8939,CAEX93,PH48,363.34260945701226,4.0,546.0,242.0,9229.0,1525.0,2023-01-12
9179,CAEX90,PH48,362.6770313186116,4.0,892.0,482.0,1954.0,1750.0,2023-01-13
9235,CAEX31,PH48,274.8965679322844,3.0,3748.0,402.0,7034.0,6905.0,2023-01-13
9269,CAEX87,PH58,272.3325638011057,3.0,3469.0,176.0,7428.0,7257.0,2023-01-13
9279,CAEX90,PH48,368.7377690946232,4.0,842.0,186.0,1664.0,1923.0,2023-01-13
9280,CAEX71,PH58,363.86401645389327,3.0,3543.0,133.0,10792.0,9325.0,2023-01-13
9287,CAEX30,PH58,275.0184596677409,3.0,3463.0,105.0,8903.0,9283.0,2023-01-13
9304,CAEX42,PH58,361.3078498310801,4.0,3111.0,404.0,7496.0,7405.0,2023-01-13
9385,CAEX55,PH48,373.8652327706037,4.0,779.0,372.0,1601.0,1449.0,2023-01-13
9484,CAEX56,PH48,271.418118903486,3.0,811.0,280.0,10544.0,1625.0,2023-01-13
9486,CAEX56,PH48,370.7929800634254,4.0,912.0,409.0,1600.0,1519.0,2023-01-13
9558,CAEX90,PH48,363.9238885999317,4.0,1040.0,150.0,1689.0,1699.0,2023-01-13
9679,CAEX31,PH06,362.59418021250985,4.0,1735.0,462.0,6375.0,1136.0,2023-01-14
9712,CAEX64,PH58,378.8645902106161,4.0,1474.0,287.0,12390.0,1358.0,2023-01-14
9751,CAEX07,PH58,276.67191466781173,3.0,3414.0,169.0,9488.0,9400.0,2023-01-14
9805,CAEX34,PH06,276.3458603512222,3.0,863.0,174.0,1606.0,1416.0,2023-01-14
9881,CAEX66,PH06,363.15745029724087,4.0,3034.0,511.0,8879.0,6680.0,2023-01-14
9890,CAEX30,PH48,366.98095764878303,4.0,2973.0,489.0,5973.0,7394.0,2023-01-14
10012,CAEX31,PH48,362.1841242178618,4.0,3465.0,374.0,7519.0,7202.0,2023-01-14
10030,CAEX10,PH48,271.8588096780813,3.0,3806.0,357.0,8568.0,7650.0,2023-01-14
10111,CAEX41,PH58,372.2457530710759,4.0,3956.0,327.0,9569.0,7416.0,2023-01-14
10146,CAEX41,PH48,367.8502700919483,4.0,3394.0,207.0,7520.0,7299.0,2023-01-14
10172,CAEX94,PH48,364.22395862746527,4.0,3209.0,400.0,7240.0,7279.0,2023-01-14
10197,CAEX39,PH58,365.5372232668549,4.0,2953.0,282.0,9331.0,7362.0,2023-01-14
10201,CAEX13,PH06,361.35939609728354,4.0,3027.0,440.0,8992.0,6516.0,2023-01-14
10225,CAEX48,PH48,276.9327820117897,3.0,2472.0,367.0,5985.0,7449.0,2023-01-14
10286,CAEX81,PH06,273.6948523338691,3.0,3410.0,234.0,6539.0,7448.0,2023-01-15
10381,CAEX66,PH58,373.232810807142,4.0,3253.0,349.0,7884.0,7472.0,2023-01-15
10601,CAEX49,PH58,362.4266529274451,3.0,2904.0,349.0,7977.0,9440.0,2023-01-15
10616,CAEX08,PH06,266.50889093719303,4.0,842.0,252.0,10013.0,4244.0,2023-01-15
10620,CAEX84,PH58,364.1178856647893,5.0,3574.0,435.0,9186.0,7334.0,2023-01-15
10629,CAEX46,PH06,275.8671756476765,3.0,3120.0,102.0,7057.0,7720.0,2023-01-15
10721,CAEX41,PH58,364.5650049333197,4.0,3483.0,355.0,7382.0,7220.0,2023-01-15
10818,CAEX41,PH06,363.54215625213095,4.0,1613.0,230.0,2464.0,6195.0,2023-01-16
10823,CAEX46,PH06,270.4139179682039,3.0,1955.0,475.0,6025.0,6197.0,2023-01-16
10857,CAEX62,PH58,369.20941361460007,4.0,3533.0,472.0,9255.0,9383.0,2023-01-16
10898,CAEX41,PH58,370.6048733066995,4.0,4057.0,122.0,12650.0,9438.0,2023-01-16
10918,CAEX49,PH58,362.62353366157527,3.0,3827.0,212.0,9662.0,9515.0,2023-01-16
10925,CAEX49,PH58,364.579873613154,3.0,3229.0,309.0,9385.0,9366.0,2023-01-16
10963,CAEX93,PH06,371.96574635779774,4.0,1757.0,408.0,2574.0,6106.0,2023-01-16
10986,CAEX54,PH06,363.1096568654347,4.0,1512.0,242.0,2501.0,6331.0,2023-01-16
10988,CAEX66,PH06,362.19898476227314,4.0,2504.0,334.0,15483.0,6153.0,2023-01-16
11009,CAEX30,PH58,273.4219301371814,3.0,3746.0,461.0,13503.0,9432.0,2023-01-16
11068,CAEX56,PH58,370.457923859987,4.0,3655.0,281.0,9290.0,7484.0,2023-01-16
11148,CAEX66,PH06,366.91015311442607,4.0,2345.0,340.0,5533.0,6199.0,2023-01-16
11178,CAEX49,PH58,367.92320368237296,3.0,3196.0,327.0,9117.0,9357.0,2023-01-16
11242,CAEX47,PH58,365.12308090644905,3.0,3895.0,507.0,10873.0,9335.0,2023-01-16
11366,CAEX31,PH58,366.1958284641558,3.0,3323.0,486.0,7387.0,10865.0,2023-01-16
11502,CAEX30,PH58,364.73784151064456,4.0,3454.0,234.0,9298.0,10158.0,2023-01-17
11527,CAEX25,PH58,374.2988701593737,4.0,3262.0,396.0,7431.0,9513.0,2023-01-17
11557,CAEX93,PH06,376.90527334272286,5.0,1508.0,334.0,4886.0,3838.0,2023-01-17
11576,CAEX54,PH06,273.5174072553275,3.0,1837.0,455.0,4997.0,3877.0,2023-01-17
11616,CAEX66,PH58,276.72991413597305,3.0,3122.0,370.0,7633.0,9373.0,2023-01-17
11691,CAEX37,PH06,365.38698355043937,5.0,1453.0,452.0,5084.0,3834.0,2023-01-17
11700,CAEX21,PH06,367.5309314689767,4.0,1993.0,420.0,5032.0,3663.0,2023-01-17
11746,CAEX93,PH06,364.17560332466695,4.0,1866.0,397.0,4885.0,3797.0,2023-01-17
11773,CAEX54,PH58,364.0274378152222,3.0,3542.0,39.0,9357.0,9641.0,2023-01-17
11833,CAEX44,PH06,364.7995216219129,4.0,2097.0,405.0,3460.0,8086.0,2023-01-17
11892,CAEX25,PH58,260.6405786055872,3.0,3558.0,211.0,9798.0,9453.0,2023-01-17
11935,CAEX54,PH58,274.1378497275644,3.0,3378.0,440.0,9206.0,9400.0,2023-01-17
11989,CAEX30,PH06,362.2311730783514,4.0,1713.0,183.0,5009.0,3746.0,2023-01-18
11998,CAEX58,PH58,374.13856067158827,3.0,3751.0,392.0,7581.0,10134.0,2023-01-18
12064,CAEX23,PH58,368.9249147571613,4.0,3582.0,492.0,9344.0,7250.0,2023-01-18
12080,CAEX74,PH06,271.7649606120614,5.0,1855.0,457.0,7114.0,3723.0,2023-01-18
12121,CAEX81,PH48,273.8859034171061,3.0,2994.0,172.0,5503.0,7270.0,2023-01-18
12146,CAEX44,PH58,374.25897394539305,4.0,4027.0,236.0,9568.0,14296.0,2023-01-18
12166,CAEX42,PH58,364.4243165984344,4.0,3045.0,202.0,7443.0,7417.0,2023-01-18
12181,CAEX96,PH06,273.3119146429731,4.0,1277.0,315.0,7127.0,3964.0,2023-01-18
12208,CAEX90,PH48,364.8631188345413,4.0,3436.0,242.0,6478.0,7176.0,2023-01-18
12303,CAEX41,PH48,364.0030271713149,4.0,3387.0,339.0,6367.0,7339.0,2023-01-18
12392,CAEX49,PH58,365.3592776170595,3.0,3180.0,390.0,7387.0,7462.0,2023-01-18
12416,CAEX71,PH58,366.3201245273288,3.0,2560.0,335.0,7447.0,9919.0,2023-01-18
12419,CAEX22,PH48,275.4915819901543,3.0,2876.0,163.0,5812.0,7094.0,2023-01-18
12458,CAEX31,PH06,381.5773025837053,3.0,996.0,338.0,6298.0,3668.0,2023-01-18
12497,CAEX87,PH48,363.1100627767612,4.0,3327.0,236.0,5699.0,7102.0,2023-01-18
12535,CAEX41,PH58,364.0187038885824,3.0,4264.0,342.0,12154.0,9982.0,2023-01-18
12611,CAEX58,PH06,384.8221036686899,5.0,1823.0,633.0,5156.0,3916.0,2023-01-19
12620,CAEX47,PH48,364.2139054233548,5.0,2817.0,254.0,9572.0,3853.0,2023-01-19
12642,CAEX49,PH48,361.6399137971778,4.0,1844.0,327.0,5572.0,3688.0,2023-01-19
12667,CAEX42,PH48,371.0912889621405,4.0,2570.0,395.0,6179.0,7424.0,2023-01-19
12761,CAEX66,PH06,361.7377844814473,5.0,1756.0,312.0,4910.0,4918.0,2023-01-19
12774,CAEX84,PH06,361.7870725783074,5.0,1430.0,455.0,8947.0,7449.0,2023-01-19
12843,CAEX80,PH48,362.1672443057878,3.0,2590.0,359.0,6677.0,3571.0,2023-01-19
12921,CAEX81,PH06,366.7820504883865,5.0,1367.0,543.0,7108.0,4736.0,2023-01-19
12954,CAEX21,PH06,364.1566504730288,5.0,1931.0,612.0,4937.0,4892.0,2023-01-19
12966,CAEX17,PH48,270.3246747794132,4.0,2773.0,341.0,9527.0,7494.0,2023-01-19
12979,CAEX90,PH06,366.8591004947128,6.0,2144.0,354.0,5143.0,7706.0,2023-01-19
12982,CAEX30,PH48,275.6733822819916,5.0,1323.0,206.0,9141.0,7386.0,2023-01-20
13003,CAEX80,PH06,371.8176793294943,5.0,967.0,432.0,8779.0,3371.0,2023-01-20
13022,CAEX39,PH48,272.5100325481848,3.0,2869.0,239.0,5701.0,6754.0,2023-01-20
13070,CAEX80,PH48,276.4409674175309,4.0,3240.0,552.0,9421.0,7406.0,2023-01-20
13083,CAEX94,PH48,275.63404997258976,4.0,2990.0,418.0,9336.0,7401.0,2023-01-20
13090,CAEX41,PH48,365.4840972539564,5.0,2845.0,446.0,5551.0,8367.0,2023-01-20
13167,CAEX37,PH48,267.62858070050964,4.0,2576.0,462.0,6936.0,7556.0,2023-01-20
13232,CAEX55,PH06,362.5001403041775,3.0,3518.0,345.0,5120.0,3683.0,2023-01-21
13262,CAEX64,PH06,367.6477474936143,5.0,1694.0,247.0,5164.0,3516.0,2023-01-21
13273,CAEX80,PH06,370.634439206496,3.0,2646.0,210.0,9068.0,3441.0,2023-01-21
13298,CAEX66,PH06,363.34310529052846,4.0,1513.0,465.0,5431.0,3328.0,2023-01-21
13481,CAEX49,PH58,272.355005450418,3.0,3095.0,389.0,7470.0,7870.0,2023-01-21
13503,CAEX31,PH58,378.7239184097735,4.0,3080.0,360.0,7419.0,7860.0,2023-01-21
13637,CAEX66,PH58,272.9036703089009,3.0,3622.0,572.0,8937.0,9049.0,2023-01-21
13756,CAEX37,PH06,364.61254842906425,3.0,1893.0,69.0,4873.0,3902.0,2023-01-22
13821,CAEX49,PH06,373.30254135146447,3.0,2565.0,189.0,5132.0,3994.0,2023-01-22
14086,CAEX98,PH58,361.880017853287,4.0,2956.0,332.0,7337.0,7353.0,2023-01-22
14145,CAEX34,PH06,373.6783389976844,4.0,1594.0,354.0,6533.0,3883.0,2023-01-22
14333,CAEX80,PH06,363.8666476856264,4.0,1745.0,242.0,4805.0,3596.0,2023-01-22
14344,CAEX66,PH06,367.0417750238991,3.0,1594.0,271.0,4932.0,3733.0,2023-01-23
14459,CAEX66,PH06,363.34944413421664,4.0,1434.0,138.0,5143.0,3891.0,2023-01-23
14490,CAEX73,PH06,361.47114875897466,3.0,1963.0,222.0,6597.0,4003.0,2023-01-23
14515,CAEX48,PH58,364.09698582296863,3.0,1832.0,131.0,8874.0,620.0,2023-01-23
14540,CAEX37,PH58,371.57115850251313,4.0,1790.0,403.0,8879.0,543.0,2023-01-23
14693,CAEX55,PH58,369.6849023039932,4.0,3321.0,367.0,8715.0,9016.0,2023-01-23
14810,CAEX31,PH58,363.67878062405606,4.0,1743.0,397.0,8712.0,567.0,2023-01-23
14855,CAEX96,PH48,361.4230525291223,3.0,2006.0,355.0,5721.0,7556.0,2023-01-23
15176,CAEX93,PH48,361.5314419846478,4.0,2635.0,322.0,8928.0,7761.0,2023-01-24
15191,CAEX54,PH48,371.7360428078703,3.0,1607.0,153.0,5173.0,7758.0,2023-01-24
15227,CAEX81,PH48,369.3765633634288,3.0,2429.0,421.0,5410.0,7646.0,2023-01-24
15266,CAEX64,PH06,377.2051667832166,4.0,1536.0,182.0,4966.0,3792.0,2023-01-24
15302,CAEX74,PH58,364.5732286323272,4.0,3387.0,357.0,8602.0,9338.0,2023-01-24
15367,CAEX62,PH06,364.3044846329256,4.0,1337.0,377.0,4978.0,3863.0,2023-01-24
15637,CAEX85,PH58,365.1762253597325,4.0,3077.0,362.0,6986.0,9583.0,2023-01-24
15659,CAEX62,PH48,372.5978477262152,5.0,2543.0,300.0,4999.0,7761.0,2023-01-24
15660,CAEX98,PH58,365.2303883595311,4.0,2944.0,263.0,6974.0,9415.0,2023-01-24
15665,CAEX41,PH06,364.0617422526717,4.0,1534.0,387.0,4889.0,3726.0,2023-01-24
15675,CAEX48,PH48,362.8857047017258,5.0,2673.0,440.0,9202.0,7623.0,2023-01-24
15816,CAEX62,PH55,361.44245794021896,5.0,2230.0,461.0,3968.0,4003.0,2023-01-25
15853,CAEX08,PH06,365.8178733248418,4.0,1623.0,233.0,5145.0,4038.0,2023-01-25
15925,CAEX85,PH06,362.5215117408512,4.0,1581.0,306.0,4869.0,3857.0,2023-01-25
16166,CAEX98,PH06,366.8476008134333,4.0,1659.0,360.0,4850.0,3754.0,2023-01-25
16380,CAEX34,PH58,267.3343119716416,3.0,3268.0,210.0,5778.0,9305.0,2023-01-25
16389,CAEX62,PH06,372.32843514052377,4.0,1368.0,174.0,6423.0,3694.0,2023-01-25
16427,CAEX49,PH06,361.9653663640974,3.0,1449.0,439.0,4866.0,3865.0,2023-01-25
16567,CAEX62,PH55,362.0900324941336,4.0,1912.0,515.0,3912.0,2755.0,2023-01-26
16876,CAEX24,PH58,362.5397322457615,4.0,2880.0,438.0,6989.0,9154.0,2023-01-26
17108,CAEX64,PH55,372.739694754358,5.0,2041.0,513.0,2865.0,4238.0,2023-01-26
17122,CAEX66,PH55,362.2527552939122,5.0,2207.0,474.0,4205.0,3890.0,2023-01-26
17208,CAEX66,PH58,275.2039005000892,3.0,2735.0,44.0,9021.0,9606.0,2023-01-27
17219,CAEX85,PH06,362.43792021537695,4.0,1579.0,537.0,5254.0,4136.0,2023-01-27
17295,CAEX42,PH58,368.08356767987,4.0,2399.0,276.0,12089.0,9132.0,2023-01-27
17313,CAEX56,PH55,275.2617511739057,3.0,2206.0,133.0,3909.0,4141.0,2023-01-27
17347,CAEX22,PH55,268.0055188911611,3.0,2098.0,104.0,3909.0,4140.0,2023-01-27
17356,CAEX31,PH06,368.0352445535956,3.0,1594.0,341.0,4950.0,3962.0,2023-01-27
17409,CAEX81,PH58,361.328882703488,4.0,3042.0,202.0,8935.0,9316.0,2023-01-27
17422,CAEX87,PH58,361.5630845780013,4.0,2581.0,283.0,7226.0,9382.0,2023-01-27
17470,CAEX64,PH58,276.5759032228163,3.0,3235.0,433.0,8593.0,9487.0,2023-01-27
17513,CAEX80,PH58,378.5466892890708,4.0,1918.0,248.0,7003.0,961.0,2023-01-27
17611,CAEX41,PH58,365.8620839679659,4.0,3600.0,344.0,8900.0,9431.0,2023-01-27
17619,CAEX08,PH55,272.1791378283036,4.0,1349.0,296.0,7615.0,3009.0,2023-01-27
17628,CAEX41,PH58,362.603645852701,3.0,3154.0,418.0,8598.0,9381.0,2023-01-27
17696,CAEX85,PH58,364.26366632774375,4.0,3709.0,279.0,9109.0,9506.0,2023-01-27
